time,1,smooth
2022-01-01 00:02:33,48.35,58.82716666666667
2022-01-01 00:02:34,48.14,58.82146666666666
2022-01-01 00:02:35,47.83,58.813266666666664
2022-01-01 00:02:36,47.44,58.80153333333333
2022-01-01 00:02:37,47.1,58.787299999999995
2022-01-01 00:02:38,47.0,58.7729
2022-01-01 00:02:39,47.21,58.76093333333333
2022-01-01 00:02:40,47.99,58.75286666666667
2022-01-01 00:02:41,50.29,58.74889999999999
2022-01-01 00:02:42,54.77,58.7481
2022-01-01 00:02:43,60.89,58.749133333333326
2022-01-01 00:02:44,66.83,58.750766666666664
2022-01-01 00:02:45,70.94,58.7523
2022-01-01 00:02:46,72.58,58.7537
2022-01-01 00:02:47,72.31,58.755266666666664
2022-01-01 00:02:48,71.32,58.7575
2022-01-01 00:02:49,70.68,58.760600000000004
2022-01-01 00:02:50,70.93,58.76443333333333
2022-01-01 00:02:51,72.0,58.7687
2022-01-01 00:02:52,73.4,58.77306666666667
2022-01-01 00:02:53,74.58,58.777433333333335
2022-01-01 00:02:54,75.17,58.781800000000004
2022-01-01 00:02:55,75.13,58.7862
2022-01-01 00:02:56,74.58,58.79076666666666
2022-01-01 00:02:57,73.77,58.79549999999999
2022-01-01 00:02:58,72.91,58.80026666666666
2022-01-01 00:02:59,72.15,58.80496666666667
2022-01-01 00:03:00,71.44,58.809466666666665
2022-01-01 00:03:01,70.68,58.81366666666666
2022-01-01 00:03:02,69.83,58.81736666666668
2022-01-01 00:03:03,68.81,58.8204
2022-01-01 00:03:04,67.7,58.82283333333334
2022-01-01 00:03:05,66.55,58.824966666666676
2022-01-01 00:03:06,65.51,58.8271
2022-01-01 00:03:07,64.66,58.829333333333345
2022-01-01 00:03:08,63.97,58.831500000000005
2022-01-01 00:03:09,63.41,58.83343333333334
2022-01-01 00:03:10,62.84,58.83493333333333
2022-01-01 00:03:11,62.23,58.83566666666667
2022-01-01 00:03:12,61.55,58.83566666666667
2022-01-01 00:03:13,60.8,58.83520000000001
2022-01-01 00:03:14,59.95,58.8347
2022-01-01 00:03:15,58.85,58.83443333333334
2022-01-01 00:03:16,57.33,58.83436666666666
2022-01-01 00:03:17,55.77,58.8344
2022-01-01 00:03:18,55.13,58.83433333333333
2022-01-01 00:03:19,55.93,58.8341
2022-01-01 00:03:20,57.73,58.83356666666666
2022-01-01 00:03:21,59.6,58.832899999999995
2022-01-01 00:03:22,60.76,58.8322
2022-01-01 00:03:23,60.97,58.8318
2022-01-01 00:03:24,60.41,58.831933333333325
2022-01-01 00:03:25,59.64,58.832633333333334
2022-01-01 00:03:26,59.16,58.83303333333333
2022-01-01 00:03:27,59.22,58.83226666666667
2022-01-01 00:03:28,59.74,58.8293
2022-01-01 00:03:29,60.47,58.8206
2022-01-01 00:03:30,61.13,58.800066666666666
2022-01-01 00:03:31,61.52,58.763866666666665
2022-01-01 00:03:32,61.5,58.7166
2022-01-01 00:03:33,61.19,58.66993333333333
2022-01-01 00:03:34,60.7,58.635133333333336
2022-01-01 00:03:35,60.19,58.616299999999995
2022-01-01 00:03:36,59.77,58.60953333333334
2022-01-01 00:03:37,59.43,58.60686666666666
2022-01-01 00:03:38,59.13,58.60093333333333
2022-01-01 00:03:39,58.81,58.58813333333334
2022-01-01 00:03:40,58.42,58.569433333333336
2022-01-01 00:03:41,57.97,58.54873333333333
2022-01-01 00:03:42,57.51,58.530199999999994
2022-01-01 00:03:43,57.03,58.5163
2022-01-01 00:03:44,56.57,58.507000000000005
2022-01-01 00:03:45,56.11,58.50056666666667
2022-01-01 00:03:46,55.63,58.49506666666666
2022-01-01 00:03:47,55.14,58.489266666666666
2022-01-01 00:03:48,54.65,58.48306666666667
2022-01-01 00:03:49,54.15,58.47696666666667
2022-01-01 00:03:50,53.67,58.47156666666667
2022-01-01 00:03:51,53.24,58.46703333333333
2022-01-01 00:03:52,52.83,58.4634
2022-01-01 00:03:53,52.46,58.460499999999996
2022-01-01 00:03:54,52.12,58.457966666666664
2022-01-01 00:03:55,51.76,58.455466666666666
2022-01-01 00:03:56,51.42,58.45283333333334
2022-01-01 00:03:57,51.08,58.450066666666665
2022-01-01 00:03:58,50.75,58.44743333333333
2022-01-01 00:03:59,50.42,58.44520000000001
2022-01-01 00:04:00,50.14,58.443533333333335
2022-01-01 00:04:01,49.87,58.44256666666667
2022-01-01 00:04:02,49.65,58.4425
2022-01-01 00:04:03,49.47,58.44399999999999
2022-01-01 00:04:04,49.32,58.44793333333334
2022-01-01 00:04:05,49.2,58.45433333333333
2022-01-01 00:04:06,49.1,58.460300000000004
2022-01-01 00:04:07,48.96,58.460433333333334
2022-01-01 00:04:08,48.78,58.45223333333334
2022-01-01 00:04:09,48.58,58.43843333333334
2022-01-01 00:04:10,48.35,58.42443333333334
2022-01-01 00:04:11,48.13,58.414500000000004
2022-01-01 00:04:12,47.95,58.40993333333334
2022-01-01 00:04:13,47.77,58.40919999999999
2022-01-01 00:04:14,47.59,58.40923333333333
2022-01-01 00:04:15,47.38,58.40736666666666
2022-01-01 00:04:16,47.1,58.4022
2022-01-01 00:04:17,46.77,58.3941
2022-01-01 00:04:18,46.54,58.38473333333333
2022-01-01 00:04:19,46.43,58.37616666666666
2022-01-01 00:04:20,46.55,58.369866666666674
2022-01-01 00:04:21,47.25,58.36613333333333
2022-01-01 00:04:22,49.42,58.364399999999996
2022-01-01 00:04:23,53.73,58.363433333333326
2022-01-01 00:04:24,59.57,58.3622
2022-01-01 00:04:25,65.2,58.36036666666666
2022-01-01 00:04:26,68.98,58.35813333333333
2022-01-01 00:04:27,70.33,58.35603333333333
2022-01-01 00:04:28,69.86,58.35443333333334
2022-01-01 00:04:29,68.77,58.35346666666667
2022-01-01 00:04:30,68.11,58.35306666666666
2022-01-01 00:04:31,68.41,58.353033333333336
2022-01-01 00:04:32,69.53,58.35320000000001
2022-01-01 00:04:33,70.96,58.3535
