time,1,ultra_smooth
2022-01-01 03:55:52,146.4,146.58207000000002
2022-01-01 03:55:53,147.89,146.61411999999999
2022-01-01 03:55:54,149.53,146.64799
2022-01-01 03:55:55,151.26,146.68340000000003
2022-01-01 03:55:56,153.07,146.72020999999998
2022-01-01 03:55:57,154.99,146.75761
2022-01-01 03:55:58,157.11,146.79412
2022-01-01 03:55:59,159.52,146.82869999999997
2022-01-01 03:56:00,162.23,146.86136000000002
2022-01-01 03:56:01,165.15,146.89287
2022-01-01 03:56:02,168.1,146.92395
2022-01-01 03:56:03,170.85,146.95486
2022-01-01 03:56:04,173.28,146.98538
2022-01-01 03:56:05,175.26,147.01506
2022-01-01 03:56:06,176.81,147.04345999999998
2022-01-01 03:56:07,178.0,147.07026000000002
2022-01-01 03:56:08,178.93,147.0952
2022-01-01 03:56:09,179.66,147.11803999999998
2022-01-01 03:56:10,180.25,147.13849
2022-01-01 03:56:11,180.74,147.156
2022-01-01 03:56:12,181.13,147.16972
2022-01-01 03:56:13,181.4,147.17841
2022-01-01 03:56:14,181.52,147.18062
2022-01-01 03:56:15,181.43,147.17493
2022-01-01 03:56:16,181.0,147.16127
2022-01-01 03:56:17,180.12,147.14195999999998
2022-01-01 03:56:18,178.54,147.12064
2022-01-01 03:56:19,175.89,147.10002
2022-01-01 03:56:20,171.64,147.08061999999998
2022-01-01 03:56:21,166.16,147.06108
2022-01-01 03:56:22,161.35,147.03932
2022-01-01 03:56:23,159.45,147.01397
2022-01-01 03:56:24,160.62,146.98505000000003
2022-01-01 03:56:25,163.1,146.95355
2022-01-01 03:56:26,164.72,146.92076
2022-01-01 03:56:27,164.23,146.88763
2022-01-01 03:56:28,161.76,146.85457
2022-01-01 03:56:29,158.45,146.82165999999998
2022-01-01 03:56:30,155.62,146.78903999999997
2022-01-01 03:56:31,153.89,146.75743
2022-01-01 03:56:32,153.12,146.72833
2022-01-01 03:56:33,152.73,146.70378
2022-01-01 03:56:34,152.21,146.68472
2022-01-01 03:56:35,151.27,146.66945
2022-01-01 03:56:36,150.05,146.65441
2022-01-01 03:56:37,148.9,146.63682
2022-01-01 03:56:38,148.11,146.61630000000002
2022-01-01 03:56:39,147.71,146.59453
2022-01-01 03:56:40,147.53,146.57396
2022-01-01 03:56:41,147.33,146.55620000000002
2022-01-01 03:56:42,146.95,146.54125
2022-01-01 03:56:43,146.46,146.52797
2022-01-01 03:56:44,145.97,146.51506999999998
2022-01-01 03:56:45,145.54,146.5019
2022-01-01 03:56:46,145.06,146.48859
2022-01-01 03:56:47,144.39,146.47569000000001
2022-01-01 03:56:48,143.5,146.46376
2022-01-01 03:56:49,142.53,146.45288
2022-01-01 03:56:50,141.71,146.44267000000002
2022-01-01 03:56:51,141.15,146.43250999999998
2022-01-01 03:56:52,140.82,146.42198000000002
2022-01-01 03:56:53,140.59,146.41103
2022-01-01 03:56:54,140.34,146.39992
2022-01-01 03:56:55,139.95,146.38893
2022-01-01 03:56:56,139.45,146.37819
2022-01-01 03:56:57,138.88,146.36763
2022-01-01 03:56:58,138.38,146.35719
2022-01-01 03:56:59,137.94,146.34697999999997
2022-01-01 03:57:00,137.57,146.33717000000001
2022-01-01 03:57:01,137.21,146.32785
2022-01-01 03:57:02,136.84,146.31897999999998
2022-01-01 03:57:03,136.45,146.31037
2022-01-01 03:57:04,136.04,146.30187
2022-01-01 03:57:05,135.61,146.29332
2022-01-01 03:57:06,135.19,146.28472
2022-01-01 03:57:07,134.79,146.27612999999997
2022-01-01 03:57:08,134.4,146.26763999999997
2022-01-01 03:57:09,134.03,146.25935
2022-01-01 03:57:10,133.65,146.25125
2022-01-01 03:57:11,133.27,146.24328
2022-01-01 03:57:12,132.87,146.23539000000002
2022-01-01 03:57:13,132.46,146.22754999999998
2022-01-01 03:57:14,132.05,146.21979000000002
2022-01-01 03:57:15,131.64,146.21215
2022-01-01 03:57:16,131.26,146.20467
2022-01-01 03:57:17,130.87,146.19734
2022-01-01 03:57:18,130.54,146.19013
2022-01-01 03:57:19,130.24,146.18302
2022-01-01 03:57:20,129.98,146.17602000000002
2022-01-01 03:57:21,129.71,146.16922
2022-01-01 03:57:22,129.44,146.16273999999999
2022-01-01 03:57:23,129.14,146.15671000000003
2022-01-01 03:57:24,128.84,146.15114
2022-01-01 03:57:25,128.55,146.146
2022-01-01 03:57:26,128.26,146.14117000000002
2022-01-01 03:57:27,128.01,146.13642
2022-01-01 03:57:28,127.8,146.13157
2022-01-01 03:57:29,127.71,146.12650999999997
2022-01-01 03:57:30,127.71,146.12128
2022-01-01 03:57:31,127.83,146.11601000000002
2022-01-01 03:57:32,128.04,146.11078
2022-01-01 03:57:33,128.28,146.10562
2022-01-01 03:57:34,128.4,146.10041999999999
2022-01-01 03:57:35,128.19,146.095
2022-01-01 03:57:36,127.56,146.08925
2022-01-01 03:57:37,126.74,146.08354
2022-01-01 03:57:38,126.06,146.07861
2022-01-01 03:57:39,125.7,146.07498
2022-01-01 03:57:40,125.63,146.07288
2022-01-01 03:57:41,125.6,146.07282999999998
2022-01-01 03:57:42,125.37,146.07593
2022-01-01 03:57:43,124.87,146.0829
2022-01-01 03:57:44,124.41,146.09340000000003
2022-01-01 03:57:45,124.51,146.10624
2022-01-01 03:57:46,125.29,146.12019
2022-01-01 03:57:47,126.42,146.13466
2022-01-01 03:57:48,128.05,146.14985000000001
2022-01-01 03:57:49,130.75,146.16644
2022-01-01 03:57:50,134.47,146.18506
2022-01-01 03:57:51,138.29,146.20594
2022-01-01 03:57:52,141.2,146.22899
2022-01-01 03:57:53,142.92,146.25399
2022-01-01 03:57:54,143.86,146.28092
2022-01-01 03:57:55,144.64,146.31001999999998
2022-01-01 03:57:56,145.72,146.34178
2022-01-01 03:57:57,147.15,146.37635999999998
2022-01-01 03:57:58,148.78,146.4135
2022-01-01 03:57:59,150.54,146.45273999999998
2022-01-01 03:58:00,152.37,146.49352000000002
2022-01-01 03:58:01,154.29,146.53465
2022-01-01 03:58:02,156.34,146.57451999999998
2022-01-01 03:58:03,158.57,146.61204
2022-01-01 03:58:04,161.07,146.64726000000002
2022-01-01 03:58:05,163.81,146.68110000000001
2022-01-01 03:58:06,166.71,146.71443
